NACE,Industrial Ecosystem,Horizontal code or not,NACE (Level 2),TIME_PERIOD,geo,Value added weight,Industrial Ecosystem&NACE&Horizontal code or not,Horizontal NACE code,Turnover weight,Persons employed weight,Employees in FTEs weight,Amount of Enterprises weight
C31,Construction,TRUE,C31,2015,BE,0.002278468,ConstructionC25TRUE,C25,0.002278468,0.002278468,0.002278468,0.002278468
F41,Construction,TRUE,F41,2016,BE,0.074618666,ConstructionC25TRUE,C25,0.074618666,0.074618666,0.074618666,0.074618666
F42,Construction,TRUE,F42,2016,BE,0.040597775,ConstructionC25TRUE,C25,0.040597775,0.040597775,0.040597775,0.040597775
F43,Construction,TRUE,F43,2016,BE,0.179899842,ConstructionC25TRUE,C25,0.179899842,0.179899842,0.179899842,0.179899842
M71,Construction,TRUE,M71,2016,BE,0.00631305,ConstructionC25TRUE,C25,0.00631305,0.00631305,0.00631305,0.00631305
N81,Construction,TRUE,N81,2016,BE,0.007295411,ConstructionC25TRUE,C25,0.007295411,0.007295411,0.007295411,0.007295411
C31,Construction,TRUE,C31,2016,BE,0.003495882,ConstructionC25TRUE,C25,0.003495882,0.003495882,0.003495882,0.003495882
F41,Construction,TRUE,F41,2017,BE,0.07585258,ConstructionC25TRUE,C25,0.07585258,0.07585258,0.07585258,0.07585258
F42,Construction,TRUE,F42,2017,BE,0.043933155,ConstructionC25TRUE,C25,0.043933155,0.043933155,0.043933155,0.043933155
F43,Construction,TRUE,F43,2017,BE,0.177920197,ConstructionC25TRUE,C25,0.177920197,0.177920197,0.177920197,0.177920197
M71,Construction,TRUE,M71,2017,BE,0.006243877,ConstructionC25TRUE,C25,0.006243877,0.006243877,0.006243877,0.006243877
N81,Construction,TRUE,N81,2017,BE,0.007096802,ConstructionC25TRUE,C25,0.007096802,0.007096802,0.007096802,0.007096802
C31,Construction,TRUE,C31,2017,BE,0.003069248,ConstructionC25TRUE,C25,0.003069248,0.003069248,0.003069248,0.003069248
F41,Construction,TRUE,F41,2018,BE,0.083882913,ConstructionC25TRUE,C25,0.083882913,0.083882913,0.083882913,0.083882913
F42,Construction,TRUE,F42,2018,BE,0.044769392,ConstructionC25TRUE,C25,0.044769392,0.044769392,0.044769392,0.044769392
F43,Construction,TRUE,F43,2018,BE,0.185021014,ConstructionC25TRUE,C25,0.185021014,0.185021014,0.185021014,0.185021014
